file_name,category,reaction_name,best_use_case,suggested_capcut_animation,suggested_on_screen_phrase,animation_preset,suggested_duration_sec,source_path,capcut_ready_png,gif,webm
yanna_reaction_notebook_dive.png,reaction,notebook_dive,"Note-taking, 'save this', planning content.",In: Slide (down) · Out: Fade,Let me write that down ✍️,slide_in,2.2,source/reactions/yanna_reaction_notebook_dive.png,exports/capcut-ready-png/yanna_reaction_notebook_dive.png,exports/gif/yanna_reaction_notebook_dive_slide_in.gif,exports/webm/yanna_reaction_notebook_dive_slide_in.webm
yanna_reaction_canva_crawl.png,reaction,canva_crawl,Design struggles / tech frustration.,In: Slide (left) · Out: Fade,Canva broke me again 😭,slide_in,2.2,source/reactions/yanna_reaction_canva_crawl.png,exports/capcut-ready-png/yanna_reaction_canva_crawl.png,exports/gif/yanna_reaction_canva_crawl_slide_in.gif,exports/webm/yanna_reaction_canva_crawl_slide_in.webm
yanna_reaction_celebration_bounce.png,reaction,celebration_bounce,"Wins, launches, milestones, hype.",In: Bounce · Loop: Wiggle · Out: Zoom Out,WE DID IT 🎉,pop_in,2.2,source/reactions/yanna_reaction_celebration_bounce.png,exports/capcut-ready-png/yanna_reaction_celebration_bounce.png,exports/gif/yanna_reaction_celebration_bounce_pop_in.gif,exports/webm/yanna_reaction_celebration_bounce_pop_in.webm
yanna_reaction_receipt_pull.png,reaction,receipt_pull,"Proof, facts, 'told you so', testimonials.",In: Slide (right) · Out: Fade,I got the receipts 🧾,slide_in,2.5,source/reactions/yanna_reaction_receipt_pull.png,exports/capcut-ready-png/yanna_reaction_receipt_pull.png,exports/gif/yanna_reaction_receipt_pull_slide_in.gif,exports/webm/yanna_reaction_receipt_pull_slide_in.webm
yanna_reaction_dramatic_faint.png,reaction,dramatic_faint,Overreacting for comedy / shock.,In: Slide (down) · Out: Fade,I can't 😵,slide_in,2.2,source/reactions/yanna_reaction_dramatic_faint.png,exports/capcut-ready-png/yanna_reaction_dramatic_faint.png,exports/gif/yanna_reaction_dramatic_faint_slide_in.gif,exports/webm/yanna_reaction_dramatic_faint_slide_in.webm
yanna_reaction_product_hug.png,reaction,product_hug,Showing off a product or launch.,In: Bounce · Loop: Heartbeat · Out: Fade,My baby 🥹,pop_in,2.2,source/reactions/yanna_reaction_product_hug.png,exports/capcut-ready-png/yanna_reaction_product_hug.png,exports/gif/yanna_reaction_product_hug_pop_in.gif,exports/webm/yanna_reaction_product_hug_pop_in.webm
yanna_reaction_post_it_alarm.png,reaction,post_it_alarm,"Reminders, announcements, 'don't forget'.",In: Bounce · Loop: Shake · Out: Fade,This your reminder 🔔,clap_shake,2.0,source/reactions/yanna_reaction_post_it_alarm.png,exports/capcut-ready-png/yanna_reaction_post_it_alarm.png,exports/gif/yanna_reaction_post_it_alarm_clap_shake.gif,exports/webm/yanna_reaction_post_it_alarm_clap_shake.webm
yanna_reaction_scroll_stopper.png,reaction,scroll_stopper,Hooks / the very first second of a video.,In: Zoom In (fast) · Out: Zoom Out,STOP scrolling ✋,pop_in,1.5,source/reactions/yanna_reaction_scroll_stopper.png,exports/capcut-ready-png/yanna_reaction_scroll_stopper.png,exports/gif/yanna_reaction_scroll_stopper_pop_in.gif,exports/webm/yanna_reaction_scroll_stopper_pop_in.webm
yanna_reaction_inner_child_wave.png,reaction,inner_child_wave,Intros / greeting the audience.,In: Rise · Loop: Wiggle · Out: Fade,Hi bestie 👋✨,wiggle,2.0,source/reactions/yanna_reaction_inner_child_wave.png,exports/capcut-ready-png/yanna_reaction_inner_child_wave.png,exports/gif/yanna_reaction_inner_child_wave_wiggle.gif,exports/webm/yanna_reaction_inner_child_wave_wiggle.webm
yanna_reaction_chill_mode.png,reaction,chill_mode,"Laid-back vibes, weekend content.",In: Fade · Loop: Float · Out: Fade,We outside. Relax 😎,float,2.5,source/reactions/yanna_reaction_chill_mode.png,exports/capcut-ready-png/yanna_reaction_chill_mode.png,exports/gif/yanna_reaction_chill_mode_float.gif,exports/webm/yanna_reaction_chill_mode_float.webm
yanna_reaction_boss_mode.png,reaction,boss_mode,"Business / CEO content, getting organized.",In: Rise · Loop: Pulse · Out: Fade,Boss mode: on 📋,pop_in,2.0,source/reactions/yanna_reaction_boss_mode.png,exports/capcut-ready-png/yanna_reaction_boss_mode.png,exports/gif/yanna_reaction_boss_mode_pop_in.gif,exports/webm/yanna_reaction_boss_mode_pop_in.webm
yanna_reaction_kitchen_table_ceo.png,reaction,kitchen_table_ceo,"Entrepreneur story, small-business content.",In: Slide (left) · Out: Fade,Built from the kitchen table 💻,slide_in,2.5,source/reactions/yanna_reaction_kitchen_table_ceo.png,exports/capcut-ready-png/yanna_reaction_kitchen_table_ceo.png,exports/gif/yanna_reaction_kitchen_table_ceo_slide_in.gif,exports/webm/yanna_reaction_kitchen_table_ceo_slide_in.webm
yanna_reaction_we_dont_judge_nod.png,reaction,we_dont_judge_nod,Reassurance / safe-space messaging.,In: Fade · Loop: Pulse · Out: Fade,We don't judge here 🤍,pulse,2.2,source/reactions/yanna_reaction_we_dont_judge_nod.png,exports/capcut-ready-png/yanna_reaction_we_dont_judge_nod.png,exports/gif/yanna_reaction_we_dont_judge_nod_pulse.gif,exports/webm/yanna_reaction_we_dont_judge_nod_pulse.webm
yanna_reaction_sale_whisper.png,reaction,sale_whisper,Teasing deals / discounts subtly.,In: Zoom In · Loop: Pulse · Out: Fade,Psst… it's on sale 🤫,pop_in,2.2,source/reactions/yanna_reaction_sale_whisper.png,exports/capcut-ready-png/yanna_reaction_sale_whisper.png,exports/gif/yanna_reaction_sale_whisper_pop_in.gif,exports/webm/yanna_reaction_sale_whisper_pop_in.webm
yanna_reaction_exit_slide.png,reaction,exit_slide,Outro / end of a video.,In: Fade · Out: Slide (right),Okay bye 👋💨,exit_slide,1.8,source/reactions/yanna_reaction_exit_slide.png,exports/capcut-ready-png/yanna_reaction_exit_slide.png,exports/gif/yanna_reaction_exit_slide_exit_slide.gif,exports/webm/yanna_reaction_exit_slide_exit_slide.webm
